Juncosa;Garrigues
Modifica les dades a Wikidata;
Escut de Juneda.svg;
Juneda;Garrigues
Modifica les dades a Wikidata;
Escut de l'Albagés.svg;
l'Albagés;Garrigues
Modifica les dades a Wikidata;
Escut de l'Albi.svg;
l'Albi;Garrigues
Modifica les dades a Wikidata;
l'Espluga Calba;Garrigues
Modifica les dades a Wikidata;
Escut de la Baronia de Rialb.svg;
la Baronia de Rialb;Noguera
Modifica les dades a Wikidata;
Escut de la Coma i la Pedra.svg;
la Coma i la Pedra;Solsonès
Modifica les dades a Wikidata;
Escut de la Floresta.svg;
la Floresta;Garrigues
Modifica les dades a Wikidata;
Escut de la Fuliola.svg;
la Fuliola;Urgell
Modifica les dades a Wikidata;
Escut de la Granadella.svg;
la Granadella;Garrigues
Modifica les dades a Wikidata;
Escut de la Granja d'Escarp.svg;
la Granja d'Escarp;Segrià
Modifica les dades a Wikidata;
Escut de la Guingueta d'Àneu.svg;
la Guingueta d'Àneu;Pallars Sobirà
Modifica les dades a Wikidata;
la Molsosa;Solsonès
Modifica les dades a Wikidata;
Escut de la Pobla de Cérvoles.svg;
la Pobla de Cérvoles;Garrigues
Modifica les dades a Wikidata;
Escudo de La Pobla de Segur.svg;
la Pobla de Segur;Pallars Jussà
Modifica les dades a Wikidata;
Escut de la Portella.svg;
la Portella;Segrià
Modifica les dades a Wikidata;
la Sentiu de Sió;Noguera
Modifica les dades a Wikidata;
Coat of Arms of La Seu d'Urgell.svg;
la Seu d'Urgell;Alt Urgell
Modifica les dades a Wikidata;
Escut de la Torre de Cabdella.svg;
la Torre de Cabdella;Pallars Jussà
Modifica les dades a Wikidata;
la Vall de Boí;Alta Ribagorça
Modifica les dades a Wikidata;
Escut de la Vansa i Fórnols.svg;
la Vansa i Fórnols;Alt Urgell
Modifica les dades a Wikidata;
Escudo de Les (Lérida).svg;
Les;Aran
Modifica les dades a Wikidata;
Escut de les Avellanes i Santa Linya.svg;
les Avellanes i Santa Linya;Noguera
Modifica les dades a Wikidata;
Escut de les Borges Blanques (2018).svg;
les Borges Blanques;Garrigues
Modifica les dades a Wikidata;
Escut de les Oluges.svg;
les Oluges;Segarra
Modifica les dades a Wikidata;
Escut de les Valls d'Aguilar.svg;
les Valls d'Aguilar;Alt Urgell
Modifica les dades a Wikidata;
Escut de les Valls de Valira.svg;
les Valls de Valira;Alt Urgell
Modifica les dades a Wikidata;
Escut de Linyola.svg;
Linyola;Pla d'Urgell
Modifica les dades a Wikidata;
Escut de Lladorre THV-ES.svg;
Lladorre;Pallars Sobirà
Modifica les dades a Wikidata;
Escut de Lladurs.svg;
Lladurs;Solsonès
Modifica les dades a Wikidata;
Escut de Llardecans.svg;
Llardecans;Segrià
Modifica les dades a Wikidata;
Escut de Llavorsí.svg;
Llavorsí;Pallars Sobirà
Modifica les dades a Wikidata;
Escudo de Lérida.svg;
Lleida;Segrià
Modifica les dades a Wikidata;
Escut de Lles de Cerdanya.svg;
Lles de Cerdanya;Cerdanya
Modifica les dades a Wikidata;
Escut de Llimiana.svg;
Llimiana;Pallars Jussà
Modifica les dades a Wikidata;
Escut de Llobera.svg;
Llobera;Solsonès
Modifica les dades a Wikidata;
Escudo de Maials.svg;
Maials;Segrià
Modifica les dades a Wikidata;
Escut de Maldà.svg;
Maldà;Urgell
Modifica les dades a Wikidata;
Escut de Massalcoreig.svg;
Massalcoreig;Segrià
Modifica les dades a Wikidata;
Escut de Massoteres.svg;
Massoteres;Segarra
Modifica les dades a Wikidata;
Escut de Menàrguens.svg;
Menàrguens;Noguera
Modifica les dades a Wikidata;
Escut de Miralcamp.svg;
Miralcamp;Pla d'Urgell
Modifica les dades a Wikidata;
Escudo de Mollerusa (Lérida).svg;
Mollerussa;Pla d'Urgell
Modifica les dades a Wikidata;
Escut de Montellà i Martinet.svg;
Montellà i Martinet;Cerdanya
Modifica les dades a Wikidata;
Escut de Montferrer i Castellbò.svg;
Montferrer i Castellbò;Alt Urgell
Modifica les dades a Wikidata;
Montgai.jpg;
Montgai;Noguera
